"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",11.03,"provisorisch"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",22.05,"provisorisch"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",57.98,"provisorisch"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",4.21,"provisorisch"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",1.32,"provisorisch"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",71.39,"provisorisch"
"2025-01-07T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-07T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",3.24,"provisorisch"
"2025-01-07T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.85,"provisorisch"
"2025-01-07T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",4.88,"provisorisch"
"2025-01-07T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",74.59,"provisorisch"
"2025-01-07T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",78.97,"provisorisch"
"2025-01-07T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",1.04,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.22,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",10.74,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",2.44,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",16.8,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",50.85,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",4.68,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",2.63,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",68.13,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"provisorisch"
"2025-01-08T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",14692.24,"provisorisch"
"2025-01-08T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",13.98,"provisorisch"
"2025-01-08T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",5.14,"provisorisch"
"2025-01-08T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",18.86,"provisorisch"
